referrer_email,referee_email
spammer@gmail.com,victim1@email.com
spammer@gmail.com,victim2@email.com
spammer@gmail.com,victim3@email.com
spammer@gmail.com,victim4@email.com
spammer@gmail.com,victim5@email.com
spammer@gmail.com,victim6@email.com
spammer@gmail.com,victim7@email.com
spammer@gmail.com,victim8@email.com
spammer@gmail.com,victim9@email.com
spammer@gmail.com,victim10@email.com
sarah.johnson@techcorp.com,mike.wilson@startup.io
sarah.johnson@techcorp.com,emma.davis@developer.net
john.martinez@business.org,olivia.brown@company.com
john.martinez@business.org,liam.anderson@agency.com


